Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
Forms and Red,A. E. Gallatin,American,American,North America,1881,1952,Male,1949,Oil on canvas,1951-05-24,1951,2,78944,76.2,58.4,4450.08,http://www.moma.org/collection/works/78944,http://www.moma.org/media/W1siZiIsIjE3MTkyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a85a96ccd512cd40
Composition 9,Manolo Millares,Spanish,Spanish,Europe,1926,1972,Male,1957,Whiting and lampblack on burlap and string,1958-10-29,1958,1,78946,70.2,135.3,9498.06,http://www.moma.org/collection/works/78946,http://www.moma.org
Attendant,Robert Ryman,American,American,North America,1930,0,Male,1984,"Oil on fiberglass with aluminum, bolts and screws",1985-04-08,1985,1,78947,131.8,119.4,15736.92,http://www.moma.org/collection/works/78947,http://www.moma.org/media/W1siZiIsIjcwNjIwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=473c3c962a306a39
Rhythm of a Russian Dance,Theo van Doesburg (Christian Emil Marie K�pper),Dutch,Dutch,Europe,1883,1931,Male,2017,Oil on canvas,1946-05-27,1946,-71,78948,135.9,61.6,8371.44,http://www.moma.org/collection/works/78948,http://www.moma.org/media/W1siZiIsIjE1MTAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=efddb686b7dbfb5f
Untitled,Blinky Palermo,American,American,North America,1930,0,Male,1961,Oil on unstretched linen,1985-04-08,1985,24,78950,27.3,26.1,712.53,http://www.moma.org/collection/works/78950,http://www.moma.org/media/W1siZiIsIjIzMjcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d1991fd35efb2b0
Christmas Eve,John Atherton,American,American,North America,1900,1952,Male,1941,Oil on canvas,1942-03-18,1942,1,78951,76.8,88.9,6827.52,http://www.moma.org/collection/works/78951,http://www.moma.org/media/W1siZiIsIjE3MTkzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e821dd959c23245
The Double Dream of Spring,Giorgio de Chirico,Italian,Italian,Europe,1888,1978,Male,1915,Oil on canvas,1957-10-09,1957,42,78956,56.2,54.3,3051.66,http://www.moma.org/collection/works/78956,http://www.moma.org/media/W1siZiIsIjE1MTAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1be8f5c38f9452b
Untitled,Blinky Palermo,French,French,Europe,1936,0,Male,1979,"Synthetic polymer paint on door flap of a canvas military tent with buckles, ropes, and dyed straps",1985-04-08,1985,6,78957,347.3,182.9,63521.17,http://www.moma.org/collection/works/78957,http://www.moma.org/media/W1siZiIsIjExODM3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ede40b729c7fb286
Natural History: Form within Rock,Charles Seliger,American,American,North America,1926,2009,Male,1946,Oil on canvas,1947-06-17,1947,1,78960,63.5,76.2,4838.7,http://www.moma.org/collection/works/78960,http://www.moma.org/media/W1siZiIsIjE3MTkzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74bdb451028f6034
The Pool,Larry Rivers,American,American,North America,1923,2002,Male,1956,"Oil, charcoal, and bronze paint on canvas",1958-10-29,1958,2,78961,262.5,235.2,61740,http://www.moma.org/collection/works/78961,http://www.moma.org/media/W1siZiIsIjE3MTkzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bdfd8e7ea9410d2d
